Date,iShares Russell 1000 Value ETF,iShares Core US Aggregate Bond ETF
1/31/2005,15.32,10058.65
2/28/2005,19.26,9991.20
3/31/2005,16.38,9866.08
4/29/2005,14.37,10001.96
5/31/2005,17.09,10051.81
6/30/2005,17.85,10105.57
7/29/2005,21.49,9968.72
8/31/2005,20.89,10053.76
9/30/2005,21.74,9926.69
10/31/2005,18.19,9795.70
11/30/2005,22.69,9796.68
12/30/2005,22.08,9832.84
1/31/2006,26.62,9826.98
2/28/2006,27.91,9806.45
3/31/2006,29.29,9685.24
4/28/2006,32.24,9633.43
5/31/2006,29.03,9577.71
6/30/2006,29.31,9524.93
7/31/2006,32.09,9618.77
8/31/2006,34.08,9731.18
9/29/2006,36.29,9790.81
10/31/2006,40.50,9817.20
11/30/2006,43.79,9879.77
12/29/2006,46.25,9745.85
1/31/2007,47.95,9739.00
2/28/2007,45.67,9859.24
3/30/2007,47.03,9800.59
4/30/2007,52.40,9820.14
5/31/2007,57.89,9693.06
6/29/2007,53.39,9614.86
7/31/2007,46.43,9676.44
8/31/2007,47.95,9757.58
9/28/2007,52.00,9777.13
10/31/2007,52.17,9834.80
11/30/2007,44.84,9969.70
12/31/2007,41.92,9889.54
1/31/2008,36.19,10118.28
2/29/2008,30.90,10061.58
3/31/2008,29.89,10037.15
4/30/2008,35.30,10029.33
5/30/2008,34.97,9870.97
6/30/2008,22.11,9814.27
7/31/2008,20.80,9815.25
8/29/2008,22.82,9848.48
9/30/2008,12.99,9637.34
10/31/2008,-6.20,9380.25
11/28/2008,-14.18,9642.23
12/31/2008,-12.43,10185.73
1/30/2009,-22.56,9983.38
2/27/2009,-32.76,9842.62
3/31/2009,-27.94,9918.87
4/30/2009,-20.30,9935.48
5/29/2009,-14.96,9973.61
6/30/2009,-15.84,9985.34
7/31/2009,-9.90,10078.20
8/31/2009,-5.00,10168.13
9/30/2009,-1.87,10256.11
10/30/2009,-5.02,10245.36
11/30/2009,0.43,10345.06
12/31/2009,1.51,10087.00
1/29/2010,-1.37,10229.72
2/26/2010,1.65,10217.99
3/31/2010,8.00,10185.73
4/30/2010,10.81,10253.18
5/31/2010,1.72,10333.33
6/30/2010,-4.13,10483.87
7/30/2010,1.79,10542.52
8/31/2010,-2.51,10649.07
9/30/2010,4.32,10620.72
10/29/2010,7.54,10610.95
11/30/2010,6.88,10495.60
12/31/2010,14.72,10337.24
1/31/2011,17.21,10328.45
2/28/2011,21.65,10327.47
3/31/2011,21.44,10276.64
4/29/2011,24.59,10406.65
5/31/2011,23.33,10504.40
6/30/2011,20.75,10427.17
7/29/2011,16.01,10572.83
8/31/2011,8.90,10703.81
9/30/2011,0.08,10763.44
10/31/2011,11.54,10755.62
11/30/2011,10.76,10692.08
12/30/2011,12.26,10777.13
1/31/2012,16.56,10855.33
2/29/2012,20.80,10826.98
3/30/2012,23.91,10738.03
4/30/2012,22.71,10811.34
5/31/2012,15.60,10905.18
6/29/2012,20.64,10879.77
7/31/2012,21.69,11005.87
8/31/2012,24.46,10984.36
9/28/2012,27.65,10991.98
10/31/2012,26.97,10966.76
11/30/2012,26.89,10972.63
12/31/2012,28.78,10858.26
1/31/2013,36.99,10790.81
2/28/2013,38.65,10833.82
3/29/2013,43.54,10824.05
4/30/2013,45.70,10903.23
5/31/2013,49.59,10665.69
6/28/2013,48.18,10479.96
7/31/2013,55.32,10488.76
8/30/2013,49.38,10382.21
9/30/2013,52.44,10478.98
10/31/2013,59.12,10547.31
11/29/2013,63.46,10502.44
12/31/2013,66.53,10403.71
1/31/2014,60.56,10564.03
2/28/2014,67.44,10583.58
3/31/2014,70.65,10548.39
4/30/2014,72.21,10614.86
5/30/2014,74.63,10720.43
6/30/2014,79.09,10694.04
7/31/2014,75.13,10648.09
8/29/2014,81.51,10750.73
9/30/2014,77.00,10665.69
10/31/2014,80.74,10760.51
11/28/2014,84.71,10812.32
12/31/2014,84.63,10764.42
1/30/2015,77.34,10985.34
2/27/2015,85.79,10869.99
3/31/2015,82.29,10892.47
4/30/2015,83.90,10836.75
5/29/2015,86.18,10769.31
6/30/2015,82.42,10633.43
7/31/2015,81.99,10703.81
8/31/2015,71.13,10647.12
9/30/2015,64.96,10711.63
10/30/2015,77.36,10698.92
11/30/2015,78.15,10636.36
12/31/2015,73.06,10558.16
1/29/2016,63.92,10689.15
2/29/2016,63.92,10761.49
3/31/2016,74.74,10833.33
4/29/2016,78.42,10839.69
5/31/2016,81.04,10821.11
6/30/2016,82.56,11008.31
7/29/2016,86.71,11047.90
8/31/2016,88.14,11003.91
9/30/2016,86.78,10989.25
10/31/2016,83.99,10879.77
11/30/2016,94.37,10580.65
12/30/2016,98.12,10563.05
1/31/2017,99.32,10585.53
2/28/2017,106.29,10632.45
3/31/2017,103.26,10605.08
4/28/2017,102.88,10679.37
5/31/2017,102.54,10729.23
6/30/2017,105.90,10704.79
7/31/2017,107.26,10718.48
8/31/2017,104.77,10796.68
9/29/2017,109.58,10712.61
10/31/2017,111.13,10700.88
11/30/2017,117.57,10662.76
12/29/2017,119.89,10687.19
1/31/2018,128.20,10566.96
2/28/2018,117.16,10436.95
3/30/2018,112.14,10483.87
4/30/2018,112.81,10361.68
5/31/2018,114.07,10406.65
6/29/2018,114.65,10392.96
7/31/2018,121.62,10367.55
8/31/2018,124.77,10401.76
9/28/2018,123.92,10314.76
10/31/2018,112.37,10223.85
11/30/2018,118.37,10252.20
12/31/2018,96.39,10409.58
1/31/2019,111.38,10504.40
2/28/2019,118.14,10466.28
3/29/2019,118.39,10661.78
4/30/2019,125.92,10614.86
5/31/2019,111.45,10791.79
6/28/2019,124.98,10884.65
7/31/2019,127.14,10879.77
8/30/2019,120.31,11156.40
9/30/2019,126.82,11062.56
10/31/2019,130.02,11060.61
11/29/2019,137.11,11032.26
12/31/2019,141.36,10984.36
